category,option,seed,acc,loss,E1,E2,E3,E4,E5,E6,E7,E8
batch,512,42,0.19242424242424241,1159.2476765025747,1420.2019015225496,1247.748161315918,1214.6230302290483,1181.8160851218483,1173.0965118408203,1159.0876645174894,1162.6219496293502,1159.2476765025747
batch,512,21,0.15833333333333333,1162.7734714854848,1380.0215606689453,1267.5199515602806,1235.3786503184926,1196.024247602983,1181.0181329900568,1169.0013746781783,1166.0320871526544,1162.7734714854848
schedule,Constant,0,0.36287878787878786,265.69228853498186,334.39427076067244,303.8481016613188,293.86579368228,287.4682829720633,280.69195956275576,276.59329913911364,272.5622740246001,265.69228853498186
schedule,Constant,42,0.3765151515151515,268.9520923069545,334.01830400739397,303.9602784656343,292.77860950288317,286.74554951985675,282.752205984933,277.99462055024645,273.15993354434056,268.9520923069545
schedule,Constant,21,0.39545454545454545,265.71822320847286,333.58589898972286,304.6704266866048,291.9286684308733,286.82006599789577,282.67576962425596,276.66229575020924,271.89729563395184,265.71822320847286
schedule,StepLR,0,0.3242424242424242,277.3342920939128,334.4809450422014,303.9503291902088,294.1177342732747,287.7456412542434,281.167230515253,279.08590280442013,279.2851544334775,277.3342920939128
schedule,StepLR,42,0.30454545454545456,278.67945861816406,333.97677031017486,303.96222105480376,292.73811939784457,286.9200704665411,282.7808314732143,279.3790226890927,278.6790491739909,278.67945861816406
schedule,StepLR,21,0.31363636363636366,278.16143508184524,333.5828374226888,304.6323532831101,291.81049619402205,286.8115230741955,283.1698695591518,278.93773651123047,278.9337456112816,278.16143508184524
schedule,Cosine,0,0.3333333333333333,276.600216456822,334.47722589401974,304.0819228036063,294.45894622802734,288.72075725737074,283.1075032552083,280.9131958371117,279.4772989182245,276.600216456822
schedule,Cosine,42,0.3090909090909091,278.49179458618164,333.9762782142276,304.1152906871977,293.2850617908296,287.8990485781715,284.91971697126115,281.6167604355585,279.43465132940383,278.49179458618164
schedule,Cosine,21,0.3242424242424242,278.2720115298317,333.58534349714006,304.79504776000977,292.52506038120816,288.0409429640997,285.6765400114514,281.179504212879,279.9840116954985,278.2720115298317
init,Kaiming,0,0.32651515151515154,277.05328659784226,334.51262337820873,304.10628691173736,294.6649324326288,288.921378726051,283.4428809029715,281.3040417262486,279.936340150379,277.05328659784226
init,Kaiming,42,0.3143939393939394,278.49464343843005,333.9775695800781,304.07075518653505,293.27405729747954,287.9347301664807,284.9627496628534,281.6373570760091,279.52362133207777,278.49464343843005
init,Kaiming,21,0.3181818181818182,278.0276950654529,333.57589067731584,304.7829328264509,292.3590140569778,287.9806645711263,285.65019607543945,281.1370093936012,279.7355858939035,278.0276950654529
init,Xavier,0,0.3333333333333333,274.00169554210845,309.3346227010091,296.62179129464283,290.8075948442732,286.4438738141741,281.2475295293899,279.31063697451634,277.1533428373791,274.00169554210845
init,Xavier,42,0.2909090909090909,275.28636314755397,308.42244502476285,295.07642201014926,289.57988393874393,284.7140299479167,282.5557665143694,279.26080667404904,276.3190213158017,275.28636314755397
init,Xavier,21,0.36287878787878786,275.4107923961821,308.3806032453264,296.71930440266925,289.2987707228888,285.3581960768927,282.3909203665597,278.4062712533133,276.3029737926665,275.4107923961821
init,Orthogonal,0,0.31666666666666665,273.1106403895787,298.5417280651274,290.3298052833194,285.9777899242583,282.6934342157273,279.7016120184036,277.1955933343796,274.04564339774,273.1106403895787
init,Orthogonal,42,0.3878787878787879,275.540099916004,296.72012765066967,291.48946852911087,287.12219837733676,284.2842870439802,280.98543366931733,278.6687400454567,276.6815983000256,275.540099916004
init,Orthogonal,21,0.3477272727272727,275.5801253545852,297.3483697800409,290.79808189755397,287.77926345098587,283.58685702369326,281.2368730817522,279.20548466273715,277.5308380126953,275.5801253545852
